; Quintessential Latin 0.220; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2A42	QUINTESSENTIAL LATIN LETTER HOOK WITH LONG OPEN BOWL
F2A43	QUINTESSENTIAL LATIN LETTER STEM WITH LONG BOWL
F2A44	QUINTESSENTIAL LATIN LETTER ASCENDER WITH LONG BOWL
F2A45	QUINTESSENTIAL LATIN LETTER HOOK WITH LONG BOWL
F2A46	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM
F2A47	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH DESCENDER
F2A48	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TAIL
F2A49	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM
F2A4A	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH DESCENDER
F2A4B	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TAIL
F2A4C	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SHOULDER
F2A4D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SHOULDER
F2A4E	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SHOULDER
F2A4F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SHOULDER
F2A50	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SHOULDER
F2A51	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SHOULDER
F2A52	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS
F2A53	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND DESCENDER
F2A54	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND TAIL
F2A55	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND ASCENDER
F2A56	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND LONG STEM
F2A57	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND LONG TAIL
F2A58	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SHOULDER
F2A59	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SHOULDER
F2A5A	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SHOULDER
F2A5B	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SHOULDER
F2A5C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SHOULDER
F2A5D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SHOULDER
F2A5E	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND STEM
F2A5F	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND DESCENDER
F2A60	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND TAIL
F2A61	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS
F2A62	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND LONG STEM
F2A63	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND LONG TAIL
F2A64	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH BOWL
F2A65	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND BOWL
F2A66	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND BOWL
F2A67	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND BOWL
F2A68	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND BOWL
F2A69	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND BOWL
F2A6A	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS
F2A6B	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND DESCENDER
F2A6C	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND TAIL
F2A6D	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER
F2A6E	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND LONG STEM
F2A6F	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND LONG TAIL
F2A70	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND BOWL
F2A71	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND BOWL
F2A72	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND BOWL
F2A73	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH BOWL
F2A74	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND BOWL
F2A75	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND BOWL
F2A76	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM
F2A77	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND DESCENDER
F2A78	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND TAIL
F2A79	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS
F2A7A	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND LONG STEM
F2A7B	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND LONG TAIL
F2A7C	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH LEG
F2A7D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND LEG
F2A7E	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND LEG
F2A7F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND LEG
F2A80	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND LEG
F2A81	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND LEG
F2A82	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS
F2A83	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND DESCENDER
F2A84	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND TAIL
F2A85	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER
F2A86	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND LONG STEM
F2A87	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND LONG TAIL
F2A88	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND LEG
F2A89	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND LEG
F2A8A	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND LEG
F2A8B	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH LEG
F2A8C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND LEG
F2A8D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND LEG
F2A8E	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM
F2A8F	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND DESCENDER
F2A90	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND TAIL
F2A91	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS
F2A92	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND LONG STEM
F2A93	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND LONG TAIL
F2A94	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH LONG LEG
F2A95	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND LONG LEG
F2A96	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND LONG LEG
F2A97	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND LONG LEG
F2A98	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND LONG LEG
F2A99	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND LONG LEG
F2A9A	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS
F2A9B	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND DESCENDER
F2A9C	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND TAIL
F2A9D	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER
F2A9E	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND LONG STEM
F2A9F	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND LONG TAIL
F2AA0	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND LONG LEG
F2AA1	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND LONG LEG
F2AA2	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND LONG LEG
F2AA3	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH LONG LEG
F2AA4	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND LONG LEG
F2AA5	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND LONG LEG
F2AA6	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM
F2AA7	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND DESCENDER
F2AA8	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND TAIL
F2AA9	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS
F2AAA	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND LONG STEM
F2AAB	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND LONG TAIL
F2AAC	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH LONG OPEN BOWL
F2AAD	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND LONG OPEN BOWL
F2AAE	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND LONG OPEN BOWL
F2AAF	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND LONG OPEN BOWL
F2AB0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND LONG OPEN BOWL
F2AB1	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND LONG OPEN BOWL
F2AB2	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS
F2AB3	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND DESCENDER
F2AB4	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND TAIL
F2AB5	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER
F2AB6	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND LONG STEM
F2AB7	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND LONG TAIL
F2AB8	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH LONG BOWL
F2AB9	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND LONG BOWL
F2ABA	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND LONG BOWL
F2ABB	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND LONG BOWL
F2ABC	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND LONG BOWL
F2ABD	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND LONG BOWL
F2ABE	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS
F2ABF	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND DESCENDER
F2AC0	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND TAIL
F2AC1	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER
F2AC2	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND LONG STEM
F2AC3	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND LONG TAIL
F2B00	QUINTESSENTIAL LATIN LETTER STEM WITH DOUBLE BOWL
F2B01	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DOUBLE BOWL
F2B02	QUINTESSENTIAL LATIN LETTER HOOK WITH DOUBLE BOWL
F2B03	QUINTESSENTIAL LATIN LETTER DESCENDER WITH DOUBLE BOWL
F2B04	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DOUBLE BOWL
F2B05	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DOUBLE BOWL
F2B06	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM
F2B07	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH DESCENDER
F2B08	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TAIL
F2B09	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER
F2B0A	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH LONG STEM
F2B0B	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH LONG TAIL
F2B0C	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE
F2B0D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE
F2B0E	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE
F2B0F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE
F2B10	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE
F2B11	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE
F2B12	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM
F2B13	QUINTESSENTIAL LATIN LETTER SPINE WITH DESCENDER
F2B14	QUINTESSENTIAL LATIN LETTER SPINE WITH TAIL
F2B15	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER
F2B16	QUINTESSENTIAL LATIN LETTER SPINE WITH LONG STEM
F2B17	QUINTESSENTIAL LATIN LETTER SPINE WITH LONG TAIL
F2B18	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM
F2B19	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND DESCENDER
F2B1A	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TAIL
F2B1B	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER
F2B1C	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND LONG STEM
F2B1D	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND LONG TAIL
F2B1E	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM
F2B1F	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND DESCENDER
F2B20	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TAIL
F2B21	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER
F2B22	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND LONG STEM
F2B23	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND LONG TAIL
F2B24	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM
F2B25	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND DESCENDER
F2B26	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TAIL
F2B27	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER
F2B28	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND LONG STEM
F2B29	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND LONG TAIL
F2B2A	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM
F2B2B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND DESCENDER
F2B2C	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TAIL
F2B2D	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER
F2B2E	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND LONG STEM
F2B2F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND LONG TAIL
F2B30	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM
F2B31	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND DESCENDER
F2B32	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TAIL
F2B33	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER
F2B34	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND LONG STEM
F2B35	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND LONG TAIL
F2B36	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM
F2B37	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND DESCENDER
F2B38	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TAIL
F2B39	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER
F2B3A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND LONG STEM
F2B3B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND LONG TAIL
F2B3C	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DOUBLE BOWL
F2B3D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DOUBLE BOWL
F2B3E	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DOUBLE BOWL
F2B3F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DOUBLE BOWL
F2B40	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DOUBLE BOWL
F2B41	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DOUBLE BOWL
F2B42	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS
F2B43	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND DESCENDER
F2B44	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND TAIL
F2B45	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER
F2B46	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND LONG STEM
F2B47	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND LONG TAIL
F2B48	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND DOUBLE BOWL
F2B49	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND DOUBLE BOWL
F2B4A	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND DOUBLE BOWL
F2B4B	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH DOUBLE BOWL
F2B4C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND DOUBLE BOWL
F2B4D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND DOUBLE BOWL
F2B4E	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM
F2B4F	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND DESCENDER
F2B50	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND TAIL
F2B51	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS
F2B52	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND LONG STEM
F2B53	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND LONG TAIL
F2B54	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE
F2B55	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE
F2B56	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE
F2B57	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE
F2B58	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE
F2B59	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE
F2B5A	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO STEMS
F2B5B	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND DESCENDER
F2B5C	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND TAIL
F2B5D	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER
F2B5E	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND LONG STEM
F2B5F	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND LONG TAIL
F2B60	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE
F2B61	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE
F2B62	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE
F2B63	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE
F2B64	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE
F2B65	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE
F2B66	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM
F2B67	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND DESCENDER
F2B68	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND TAIL
F2B69	QUINTESSENTIAL LATIN LETTER SPINE WITH TWO ASCENDERS
F2B6A	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND LONG STEM
F2B6B	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND LONG TAIL
F2B6C	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND STEM
F2B6D	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND DESCENDER
F2B6E	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND TAIL
F2B6F	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER
F2B70	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND LONG STEM
F2B71	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND LONG TAIL
F2B72	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND STEM
F2B73	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND DESCENDER
F2B74	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND TAIL
F2B75	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER
F2B76	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND LONG STEM
F2B77	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND LONG TAIL
F2B78	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND STEM
F2B79	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND DESCENDER
F2B7A	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND TAIL
F2B7B	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER
